"skill_id";"skill_name";"related_ability";"skill_description"
1;"Agriculture";6;"Agriculture measures the kingdom's ability to cultivate the land, bringing forth crops, flocks and livestock"
2;"Arts";3;"Arts measure the kingdom's devotion to entertainment, artwork, and public works such as monuments"
3;"Boating";4;"Boating reflects the kingdom's affinity for navigating rivers and lakes, or for using waterways to bolster trade, exploration, or even conquest."
4;"Defense";6;"Defense measuresthe kingdom's ability to police and protect istelf and its citizens from bandits, monsters, criminals, outside incursions, and pestilence or plague, but not natural disasters. It includes both physical fortifications and barriers as well as dedicated individuals guarding the land."
5;"Engineering";6;"Engineering measures the kingdom's ability to alter the physical landscape it's territory."
6;"Exploration";4;"Exploration measures the kingdom's ability to look outward and see what lies beyond its own borders, and to closely examine claimed territory to discover secrets."
7;"Folklore";3;"Folklore measures the kingdom's connection with faiths and customs of all kinds. It also indicates how deeply tradition affects public life and the prominence of faith, worship, and culturally traditional activities."
8;"Industry";4;"Industry measures the kingdom's devotion to the business of building and making things, from basic necessitiesto luxury goods for trade. It puts people to work creating a prosperous future."
9;"Intrigue";5;"Intrigue measures the kingdom's mastery of the hidden forces of politics. It includes manipulation of factions within a country and espionage beyond its borders, as well as investigations into criminal activities."
10;"Magic";3;"Magic measures the kingdom's affinity for the mystic arts, whether arcane, divine, occult, or primal. It may reflect the breadth of natural magic talent among the people or it may represent the study of ancient secrets of magical theory."
11;"Politics";5;"Politics measures a kingdom's embrace of civic life of all kinds, from deeply rooted local traditions to cosmopolitan cross-cultural connections. It also reflects the importance of the citizenry's shared values, whether they are dedicated to freedom and justice or to more unsavory ethics"
12;"Scholarship";3;"Scholarship measures the kingdom's interest in teaching and training its citizens to learn about the world around them. It also includes researching answers to problems in every field, from history and medicine to alchemy and philosophy."
13;"Statecraft";5;"Statecraft measures the kingdom's ability to engage and interact with other nations, Freeholds, and political powers in above the board political manners, including its trustworthiness in the eyes of the other nations and its own citizens."
14;"Trade";4;"Trade measures a kingdom's involvment in commerce of every kind, but especially in moving goods from one place to another and in the health of its market. You take a cumulative -1 penalty on Trade checks for each settlement in your kingdom that has no Land Borders, unless it has at least one Water Border with a Bridge."
15;"Warfare";5;"Warfare measures the kingdom's readiness to mobilize its military forces against its enemies. Warfare has no exclusive skill activities as presented though it can be used with some general skill activities. Warfare is extensively used to to resolve mass combat."
16;"Wilderness";6;"Wilderness measures how well the kingdom manages its natural resources, integrates with the natural ecosystem, and handles dangerous wildlife. It also reflects the kingdom's ability to anticipate, prevent, and recover from natural disasters, in much the same way the Defense skill protects against other threats."
